country,target,year,month,new_referring_main_domains,referring_main_domains,category
UK,avis.com,2024,4,484,22383,car rentals
UK,avis.com,2024,5,505,22340,car rentals
UK,avis.com,2024,6,470,22379,car rentals
UK,avis.com,2024,7,867,22928,car rentals
UK,avis.com,2024,8,659,23127,car rentals
UK,avis.com,2024,9,657,23485,car rentals
UK,avis.com,2024,10,772,23732,car rentals
UK,avis.com,2024,11,515,23613,car rentals
UK,avis.com,2024,12,839,23601,car rentals
UK,avis.com,2025,1,601,23048,car rentals
UK,gotrentalcars.com,2024,1,3,170,car rentals
UK,gotrentalcars.com,2024,2,2,163,car rentals
UK,gotrentalcars.com,2024,3,4,161,car rentals
UK,gotrentalcars.com,2024,4,2,160,car rentals
UK,gotrentalcars.com,2024,5,5,154,car rentals
UK,gotrentalcars.com,2024,6,15,164,car rentals
UK,gotrentalcars.com,2024,7,7,161,car rentals
UK,gotrentalcars.com,2024,8,3,161,car rentals
UK,gotrentalcars.com,2024,9,7,167,car rentals
UK,gotrentalcars.com,2024,10,20,183,car rentals
UK,gotrentalcars.com,2024,11,22,201,car rentals
UK,gotrentalcars.com,2024,12,7,204,car rentals
UK,gotrentalcars.com,2025,1,9,207,car rentals
UK,carjet.com,2024,1,16,843,car rentals
UK,carjet.com,2024,2,22,811,car rentals
UK,carjet.com,2024,3,14,798,car rentals
UK,carjet.com,2024,4,22,789,car rentals
UK,carjet.com,2024,5,29,773,car rentals
UK,carjet.com,2024,6,23,776,car rentals
UK,carjet.com,2024,7,17,776,car rentals
UK,carjet.com,2024,8,15,759,car rentals
UK,carjet.com,2024,9,23,766,car rentals
UK,carjet.com,2024,10,36,788,car rentals
UK,carjet.com,2024,11,37,797,car rentals
UK,carjet.com,2024,12,41,815,car rentals
UK,carjet.com,2025,1,28,816,car rentals
UK,autorentals.com,2024,1,25,1405,car rentals
UK,autorentals.com,2024,2,25,1406,car rentals
UK,autorentals.com,2024,3,21,1413,car rentals
UK,autorentals.com,2024,4,16,1416,car rentals
UK,autorentals.com,2024,5,32,1432,car rentals
UK,autorentals.com,2024,6,29,1446,car rentals
UK,autorentals.com,2024,7,21,1458,car rentals
UK,autorentals.com,2024,8,21,1464,car rentals
UK,autorentals.com,2024,9,26,1475,car rentals
